title,category,reward
[4억6천 앵콜]와이어리스 북스캐너! 아우라 더 똑똑해져서 돌아왔습니다.,테크·가전,9940%
[4억돌파] 통번역에 이어 언어학습 모드 추가! 실시간 번역기 타임캐틀,테크·가전,9841%
[누적 6.4억] 주무름/지압/저주파 3가지 기능을 모두담은 EMS글러브,테크·가전,9754%
[처음이자 마지막 30만원대] 음식물처리기의 혁명! 기능은 더한 갓성비!,테크·가전,9692%
[팬톤] 파워뱅크 블루투스 이어폰에 팬톤의 고급진 색감을 끼얹다.,테크·가전,9680%
실내 공기 샤워할 시간! 공기를 물로 씻는 프리미엄 가습기ㅣ벤타 에어워셔,테크·가전,9679%
[글로벌18억펀딩] 이제 무선으로 듣자! 겐키 닌텐도 블루투스 송신기,테크·가전,9659%
"공기청정기+제습기,자동배수까지! 4계절 비수기가 없는 2in1 공청제습기",테크·가전,9616%
[3.5억 3차 한정판 앵콜] 올인원 노이즈캔슬링 원모어 컴포버즈 프로,테크·가전,9585%
"[평점4.7 앵콜] 15cm로 접는, 3만원 대 핸디형 오브제 청소기",테크·가전,9575%
"[10억 달성] ANKER의 프리미엄 사운드 바, 120W 돌비 애트모스",테크·가전,9527%
청소는 기본! 3만원대 괴물흡입력에 이런 신박한 기능까지~~,테크·가전,9408%
"[글로벌 4억 앵콜] 뻐근한 내 몸을 위한 전신관리, 시리어스 근적외선",테크·가전,9404%
티셔츠 속에 COOL한 시원함을! 목만 시원해서 되나요?All 7 리부트,테크·가전,9358%
"[박테리아 99.9% 살균] 내가 있는 곳 어디든, 나만의 살균보호막",테크·가전,9352%
[애주가 주목] 부드러운 목넘김의 끝 ! 더 작고 가벼워진 술 에어레이터,테크·가전,9299%
300페이지를 20분 안에 스캔한다고? 스마트스캐너 <아우라>,테크·가전,9196%
삼각대와 셀카봉을 하나로 ! 나만에 포토그래퍼 셀삼,테크·가전,9189%
언제 어디서나 전기걱정은 이제 그만!! 글로벌 50억 펀딩 '리버맥스',테크·가전,9135%
공기정화 뿐만 아니라 모기 퇴치도? 세라믹필터가 들어간 SSUBA(써바),테크·가전,9116%
빠르고 좋을수록 충전기는 비쌀까? QC 3.0 4포트![부엉이 Q4],테크·가전,9044%
[샤오미 국내 첫 정식 발매] 넷플릭스 공식 지원 스마트 컴팩트 프로젝터,테크·가전,8997%
가심비 끝판왕ㅣ당신의 여름을 위해 가장 완벽에 가까워진 써큘레이터,테크·가전,8986%
[만족도 4.9앵콜] 맥주덕후들 주목! 우리집이 양조장이 되는 #기적맥주,테크·가전,8981%
[샤크/닌자 무선핸디청소기] 90W+강력한+작은+편리한 물건왔습니다.,테크·가전,8901%
"[3.5억앵콜] 무선 청소기 오비큠, 펫큠&자바라악세사리로 돌아오다",테크·가전,8898%
앵콜[모발건조3분컷] 아침에 좀더 주무세요 드라이기2개 합친 괴물!!,테크·가전,8778%
"[ 5만원대 ] 뉴트로 감성, 작은 몸집이 뿜어내는 하이 퀄리티 사운드!",테크·가전,8766%
"<6,841명 서포터의 선택> 1억 펀딩_이면지 활용의 끝판왕.",테크·가전,8746%
"[레드빈] 맥북부터 갤럭시까지, 이제 한줄로 끝! 코어7 올인원 케이블",테크·가전,8711%
"토네이도 회오리 원리, 강력한 흡입력! 주방냄새 이제 코앞에서 잡으세요.",테크·가전,8697%
"더치커피/핸드드립/핫브루/티까지 내리는 ""4 IN 1"" 커피메이커, M1",테크·가전,8691%
[전기면도기] 가격과 수염을 모두 날렸다. 트리플블랙.,테크·가전,8650%
[저세상 흡입력]찌든때/오물/얼룩 이런거까지빨아들여도 되나싶은 비쎌청소기,테크·가전,8634%
[멀티탭 1억 신화] 멀티탭에 퀵차지 3.0 편리함을 담은 부엉이Q2,테크·가전,8633%
이어폰의 한계를 없애다 WELLVENT LT PRO,테크·가전,8610%
USB연결로 1인 미디어 시대 준비 끝 | LED 프리미엄 콘덴서 마이크,테크·가전,8596%
[4만원대] 캠핑 안전을 위한 모든 기능을 담은 CAM.G MINI,테크·가전,8571%
[한달 전기요금 1130원] 차가운 바람이 나오는 미니에어컨 Brise,테크·가전,8522%
[업그레이드앵콜] 선이 아닌 면으로 전하는 따뜻함! 잉코 전기매트/담요,테크·가전,8500%
<만족도 4.7 앵콜> 맥주 매니아가 인정한 수제맥주 제조기 테라 브루,테크·가전,8400%
